#fields:VName,VLabel,Active
#
*HA,*HA-Dummy for IMS 100393945,true
001,"001-Automatsikringer 70mm, 6kA",true
002,"002-Automatsikringer 70mm, 10kA",true
003,"003-Automatsikringer 70mm, 15 - 50kA",true
004,004-Kombiafbryder bestående af automatsikring og fejlstrømsafbryder. HFI/FI-Relæ,true
005,005-Automatsikringer UL 489 + UL komponenter,true
006,"006-Automatsikringer 55mm / 3; 4,5; 6 - 10kA",true
007,007-Beskyttelsesenhed AFDU,true
008,008-Kombiafbryder bestående af automatsikring og fejlstrømsafbryder. HFI/FI-Relæ type A,true
009,"009-Fejlstrømsafbrydere RCM, MRCD",true
010,010-Kombiafbryder bestående af automatsikring og fejlstrømsafbryder. HFI/FI-Relæ type B,true
011,"011-Fejlstrømsafbrydere HPFI/HFI relæ 55mm, 70mm, type A",true
012,"012-Fejlstrømsafbrydere 55mm, 70mm HPFI/HFI",true
013,"013-Fejlstrømsafbrydere 70mm, type B",true
014,014-Fejlstrømsafbrydere specielle typer,true
015,015-Fejlstrømsafbrydere tilbehør,true
016,"016-SITOR-, SILIZED-sikringer",true
017,"017-NH-, DIAZED, NEOZED-sikringer / Cylindriske sikringer",true
018,018-UL CC sikringer,true
019,"019-MCB Specielle ICP 70mm 4,5kA",true
020,020-Automatsikringer tilbehør,true
021,021-DELTA Installationsprodukter stikontaktsystemer,true
022,022-Instabus operatør paneler,true
024,024-Røgmeldere,true
025,025-Timere og kontakture,true
026,026-Overvågningsrelæer,true
027,027-Overvågningsenheder - elektriske værdier,true
028,"028-Transformator, kontaktorer, kiprelæer",true
029,029-Lastafbrydere,true
030,030-Instabus / KNX,true
031,031-Tilbehør til 60mm Busbar systemer,true
032,032-SIMBOX Små fordelingstavler,true
033,033-Måleenheder,true
034,034-ALPHA 630 tavler,true
035,035-Prijsgroep CP-Service,true
036,036-ALPHA boks,true
037,037-Overspændingsbeskyttelsesenheder,true
038,038-ALPHA-Installationssystem NF,true
039,039-ALPHA 160 tavler,true
040,040-Metering boxes,true
041,041-Rækkeklemmer 8WA,true
042,042-SIKUS Classic Installationsfordelingssystem,true
043,043-ALPHA-Målertavlesystem,true
044,044-Rækkeklemmer 8WH,true
045,045-ALPHA-Installationssystem BS,true
046,046-ALPHA 8HP ISO kasser,true
047,047-SITOR Semiconductor protection fuses,true
049,049-Price group 049,true
08A,"08A-IND 1LA7/1LG4, Voorraad motoren, ashoogt",true
08B,"08B-IND 1LA5, aluminium, ashoogte 180-225",true
08C,"08C-IND 1LA8/1PQ8, gietijzer, ashoogte 315-4",true
08D,"08D-IND 1MA6, EEx e, gietijzer, ashoogte 100",true
08E,"08E-IND 1LA6, gietijzer, ashoogte 100-160",true
08F,"08F-IND 1MJ6, EEx de, gietijzer, ashoogte 71",true
08G,"08G-IND 1MJ8/1MJ1, EEx de, gietijzer",true
08H,08H-IND Toebehoren,true
08I,"08I-IND 1LG6, gietijzer, ashoogte 180-315, E",true
08J,08J-IND Motox onderdelen,true
08K,08K-IND Cavex onderdelen,true
08L,08L-IND Koppelingen N-Eupex,true
08M,08M-IND Tandwielkasten onderdelen,true
08N,08N-IND RESERVED,true
08P,08P-IND Koppelingen Bipex,true
08Q,08Q-IND Koppelingen Arpex ARS 6,true
08R,08R-IND Koppelingen Rupex bouten/buffers,true
08S,08S-IND Tandwielkasten,true
08T,08T-IND Motox-N/GGM motorreductoren,true
08U,08U-IND Motox-N/GGM Reserve onderdelen,true
08X,08X-IND Koppelingen Zapex,true
08Y,08Y-IND Koppelingen Elpex,true
08Z,08Z-IND Koppelingen Fludex,true
098,098-IND RESERVED,true
099,099-IND POSMO,true
09A,"09A-IND Masterdrive VC (6E71, Chassis II)",true
09B,09B-IND RESERVED,true
09C,09C-IND RESERVED,true
09D,09D-IND RESERVED,true
09E,09E-IND RESERVED,true
09F,09F-IND SIMATIC ET 200S frequentieomvormers,true
09G,09G-IND RESERVED,true
09H,09H-IND SINAMICS G110,true
09I,09I-IND RESERVED,true
09J,09J-IND RESERVED,true
09K,09K-IND SINAMICS G120,true
09L,09L-IND SINAMICS S110 en S120 AC/AC,true
09M,09M-IND MicroMaster 3e en 4e generatie,true
09N,09N-IND SINAMICS S120,true
09P,09P-IND SINAMICS G130,true
09R,09R-IND Reserveonderdelen drives,true
09S,09S-IND SIMOREG DC-Master 6RA70,true
09T,09T-IND Masterdrive MC & VC compact plus,true
09U,09U-IND Masterdrive MC & VC compact en chass,true
09V,09V-IND RESERVED,true
09W,09W-IND SINAMICS G150,true
09X,09X-IND Branche oplossingen (IND R251),true
09Y,09Y-IND SIMOTION hardware,true
09Z,09Z-IND SIMOTION software,true
0Z9,0Z9-IND RESERVED,true
100,100-IND SIMODRIVE 611 Drives,true
101,101-IND SINUMERIK,true
102,102-IND SINUMERIK kabels en toebehoren,true
103,103-IND SIMODRIVE motoren,true
104,104-IND SIROTEC,true
105,105-IND WF-techniek,true
106,"106-IND 1PH8,1FK7 tot en met ashoogte 100",true
107,107-IND RESERVED,true
108,108-IND RESERVED,true
109,109-IND Positioneerkaarten FM353 / FM354,true
10A,10A-IND RESERVED,true
10B,10B-IND RESERVED,true
10C,10C-IND RESERVED,true
10D,10D-IND RESERVED,true
10E,10E-IND RESERVED,true
10F,10F-IND RESERVED,true
10G,10G-IND RESERVED,true
10H,10H-IND RESERVED,true
10I,10I-IND RESERVED,true
10J,10J-IND RESERVED,true
10K,10K-IND RESERVED,true
10L,10L-IND RESERVED,true
10M,10M-IND RESERVED,true
10N,10N-IND RESERVED,true
10O,10O-IND RESERVED,true
10P,10P-IND RESERVED,true
10Q,10Q-IND RESERVED,true
10R,10R-IND RESERVED,true
10S,10S-IND RESERVED,true
10T,10T-IND RESERVED,true
10U,10U-IND RESERVED,true
10V,10V-IND RESERVED,true
10W,10W-IND SIWAREX weeg componenten,true
10X,10X-IND RESERVED,true
10Y,10Y-IND RESERVED,true
10Z,10Z-IND RESERVED,true
110,110-IND RESERVED,true
111,111-IND RESERVED,true
112,112-IND RESERVED,true
113,113-IND RESERVED,true
114,114-IND RESERVED,true
11A,11A-IND RESERVED,true
11B,11B-IND RESERVED,true
11C,11C-IND RESERVED,true
11D,11D-IND RESERVED,true
11E,11E-IND RESERVED,true
11F,11F-IND RESERVED,true
11G,11G-IND RESERVED,true
11H,11H-IND RESERVED,true
11I,11I-IND RESERVED,true
11J,11J-IND RESERVED,true
11K,11K-IND RESERVED,true
11L,11L-IND RESERVED,true
11M,11M-IND RESERVED,true
11O,11O-IND RESERVED,true
11P,11P-IND RESERVED,true
11Q,11Q-IND RESERVED,true
11R,11R-IND RESERVED,true
11S,11S-IND RESERVED,true
11T,11T-IND RESERVED,true
11U,11U-IND RESERVED,true
11V,11V-IND RESERVED,true
11X,11X-IND RESERVED,true
11Y,11Y-IND RESERVED,true
11Z,11Z-IND RESERVED,true
120,120-IND RESERVED,true
121,121-IND RESERVED,true
122,122-IND RESERVED,true
124,124-IND RESERVED,true
12A,12A-IND SIMATIC LOGO!,true
12B,12B-IND SIMATIC S7 Micro PLC (S7-200),true
12C,12C-IND SIMATIC S7 PLC's,true
12D,12D-IND SIMATIC Industriële software,true
12E,12E-IND SIMATIC Decentrale I/O,true
12F,12F-IND SIMATIC Visualisatie,true
12G,12G-IND SIMATIC Industriële netwerken,true
12H,12H-IND SIMATIC Industrie PC's,true
12I,12I-IND SIMATIC SITOP Voedingen,true
12J,12J-IND SIMATIC PCS7,true
12K,"12K-IND SIMATIC sensoren, RFID en Code Readi",true
12L,12L-IND SIMATIC uitloopproducten,true
12M,12M-IND SIMATIC IT producten,true
12N,12N-IND SIMATIC ASIC,true
12O,12O-IND SIMATIC Telecontrol,true
131,131-IND RESERVED,true
132,132-IND RESERVED,true
133,133-IND RESERVED,true
13A,13A-IND ULTRAMAT 23 continu gas analysers,true
13B,13B-IND ULTRAMAT 6; ULTRAMAT/OXYMAT 6 contin,true
13C,13C-IND OXYMAT 6; OXYMAT61; OXYMAT64 continu,true
13D,13D-IND CALOMAT 6; CALOMAT 62 continu gas an,true
13E,13E-IND FIDAMAT 6 total hydrocabons analyser,true
13F,13F-IND LDS 6; SITRANS SL continu gas analys,true
13I,13I-IND CO2 meters,true
143,143-IND RESERVED,true
145,145-IND RESERVED,true
14A,14A-IND SIPART PS2 klepstandstellers,true
14B,14B-IND SIPART DR regelaars,true
14C,14C-IND SITRANS P DSIII druk- en drukverschi,true
14D,14D-IND SITRANS P Z; ZD; MPS; P300 druk tran,true
14E,14E-IND SITRANS T temperatuur transmitters,true
14F,14F-IND SIREC schrijvers,true
14G,14G-IND RESERVED,true
14H,14H-IND RESERVED,true
14I,14I-IND SITRANS LPS100/200; LVS100/200; LVL1,true
14J,14J-IND SITRANS L POINTEK CLS100; CLS200; CL,true
14K,14K-IND SITRANS L PROBE LU; PROBE ultrasoon,true
14L,14L-IND SITRANS L ultrasone niveau omvormers,true
14M,14M-IND SITRANS L LC300; LC500 niveau transm,true
14N,14N-IND SITRANS LR200; LR300; PROBE LR radar,true
14O,14O-IND SITRANS LR 250; LR260 radar niveau t,true
14P,14P-IND SITRANS LR 400; LR460 radar niveau t,true
14Q,14Q-IND SITRANS AS 100; CU02 akoestische omv,true
14R,14R-IND SITRANS LG200 geleiden radar niveau,true
14S,14S-IND RESERVED,true
14T,14T-IND SITRANS FM MAGFLO; TRANSMAG electrom,true
14U,14U-IND SITRANS FC MASSFLO coriolis massa fl,true
14V,14V-IND SITRANS FU SONOFLO ultrasone flowmet,true
14W,14W-IND SITRANS FU ultrasone clamp-on flowme,true
14X,14X-IND SITRANS FX vortex flowmeters,true
14Y,14Y-IND SITRANS FR mechanische flowmeters,true
14Z,14Z-IND RESERVED,true
155,155-IND RESERVED,true
15A,15A-IND ALPHA en SIVACON S4 verdeelsystemen,true
15B,15B-IND BETA Installatiemateriaal,true
15C,15C-IND GAMMA KNX Instabus,true
15D,15D-IND DELTA wandschakelmateriaal,true
15E,15E-IND RESERVED,true
15F,15F-IND Fuses Diazed en Neozed smeltveilighe,true
15G,15G-IND RESERVED,true
15I,15I-IND RESERVED,true
15K,15K-IND SIVACON railkanaalsystemen,true
15M,15M-IND RESERVED,true
15O,15O-IND RESERVED,true
15P,15P-IND SENTRON vermogensautomaten en (zeker,true
15Q,15Q-IND RESERVED,true
15Z,15Z-IND RESERVED,true
165,165-IND RESERVED,true
16A,16A-IND SIRIUS schakelmateriaal algemeen,true
16B,16B-IND SIRIUS schakelmateriaal electronisch,true
16C,16C-IND SIRIUS schakelmateriaal compact,true
16D,16D-IND SIRIUS schakelmateriaal gateway,true
16E,16E-IND RESERVED,true
16F,16F-IND RESERVED,true
16G,16G-IND RESERVED,true
16H,16H-IND RESERVED,true
16I,16I-IND RESERVED,true
16K,16K-IND RESERVED,true
16M,16M-IND RESERVED,true
16N,16N-IND RESERVED,true
16O,16O-IND RESERVED,true
16P,16P-IND RESERVED,true
16Q,16Q-IND RESERVED,true
16S,16S-IND RESERVED,true
16T,16T-IND RESERVED,true
16U,16U-IND RESERVED,true
16W,16W-IND RESERVED,true
16Y,16Y-IND RESERVED,true
16Z,16Z-IND RESERVED,true
175,175-IND RESERVED,true
17A,17A-IND RESERVED,true
17C,17C-IND RESERVED,true
17E,17E-IND RESERVED,true
191,191-Global bookings,true
192,192-Global bookings,true
193,193-Accessories Moulded Case Circuit Breaker,true
194,194-Fans,true
195,195-Low voltage switch gear/board (SIVACON),true
1B1,1B1-Bonus CC,true
1B3,1B3-Bonus PD,true
1B6,1B6-Bonus MD,true
200,200-LOGO!,true
201,201-SIMATIC PC Micro Box,true
202,202-SIMATIC Rack / Microbox PC,true
203,203-Box PC 400 / 500,true
204,204-SIMATIC PC IL,true
205,205-SIMATC Rack / Box PC,true
206,206-SIMATIC IPC Customized PC,true
207,207-IPC Solution: Electronic Assembly,true
208,208-Industrial PC generelt,true
209,209-SICOMP Microcomputersystems,true
20A,20A-HICOM300,true
20B,20B-HICOM300 toestellen,true
210,210-SIMATIC S7-200,true
211,211-Electronics and More general,true
212,212-SIMATIC S7-1200,true
215,215-Innovation,true
220,220-SIMATIC S7-200,true
229,229-SIMATIC S5-90/95/100,true
230,230-SIMATIC S7-300 CPU/Add-On,true
231,231-SIMATIC S7-300 I/O,true
232,"232-SIMATIC WIN AC, PC-based Control",true
235,235-SIMATIC C7,true
237,237-SIMATIC HMI Basic paneler 4-6,true
238,238-SIMATIC HMI Basic paneler 10-15,true
239,239-SIMATIC S5-115,true
240,240-SIMATIC S7-400,true
241,"241-SIMATIC Failsafe systemer S7, DP",true
245,"245-SIMATIC, M7-400 ( CPU,FU,ZUBEHOER )",true
246,246-SYMADYN/TDC,true
249,249-SIMATIC S5-135/155,true
250,"250-SIMATIC DP, distributed I/O´s",true
251,251-PROFIBUS Technology komponenter,true
252,252-PROFINET Technology komponenter,true
25A,25A-Gigaset groep 1,true
25B,25B-Gigaset groep 2,true
25C,25C-Gigaset groep 3,true
25G,25G-BS-HICOM,true
25H,25H-VS-HINET,true
25I,25I-Toestellen,true
260,260-SIMATIC PG Hardware,true
261,261-SIMATIC PG Add-On,true
263,263-SIMATIC HMI Thin Client,true
264,264-SIMATIC Bundles Microbox?????,true
265,265-SIMATIC Standard Tool,true
266,266-SIMATIC Engineering Tools,true
267,267-Kontrakt SIMATIC Tools,true
268,268-SIMATIC WIN-AC,true
269,269-Kontrakt SIMATIC HM,true
270,270-SIMATIC HMI Paneler 07x / 17x,true
271,271-SIMATIC HMI Paneler 27x / 37x,true
272,272-SIMATIC HMI SW SCADA ES,true
273,273-SIMATIC HMI Micro Paneler,true
274,274-SIMATIC HMI Panel-PC 47x/57x,true
275,"275-SIMATIC HMI Panel-PC67x/87x,Flatpanel",true
276,"276-SIMATIC HMI SW SCADA RT,  WinCC",true
277,277-SIMATIC HMI RT-SW,true
278,278-SIMATIC HMI CS/ES-SW,true
279,279-SIMATIC HMI Ind. Komm. Enheder,true
280,280-SIMATIC PCS 7,true
281,281-SIMATIC PCS7 SW/Dokumentation,true
282,282-Kontrakt SIMATIC PCS 7,true
283,283-TELEPERM/PCS7,true
285,285-TI Products,true
286,286-APACS / Quadlog,true
287,287-TELEPERM,true
288,288-Cemat/Braumat,true
289,289-MES Products,true
290,290-MES Produkter,true
291,"291-SIMATIC, S5 - 115, CPU",true
292,"292-SIMATIC, S5 - 135/155, CPU",true
294,294-ETM-SW PVSS,true
296,296-CIS-SW COMOS,true
297,297-SIMATIC TDC,true
298,298-Resale Products,true
299,"299-SIMATIC, ALTTECHNIK",true
2A0,2A0-Phased out: LOGO!,true
2A1,2A1-Phased out: SIMATIC PC Micro Box,true
2A2,2A2-Phased out: SIMATIC Rack/Microbox,true
2A3,2A3-Phased out: Box PC 400 / 500,true
2A4,2A4-Phased out: SIMATIC PC IL,true
2A5,2A5-Phased out: SIMATC Rack / Box PC,true
2A6,2A6-Phased out: IPC custom.SIMATIC PC,true
2A7,2A7-Phased out: IPC Solution for EA,true
2A8,2A8-Phased out: Industrial PC general,true
2A9,2A9-Phased out: Micro Autom. general,true
2AP,2AP-Udfaset SIMATIC,true
2B0,2B0-Bonus,true
2B1,2B1-Phased out: EaM general,true
2B2,2B2-Phased out: SIMATIC S7-1200,true
2B5,2B5-Phased out: SIMATIC S7-1500,true
2C0,2C0-Phased out: SIMATIC S7-200,true
2C9,2C9-Phased out: SIMATIC Add-On,true
2D0,2D0-Phased out: SIMATIC S7-300,true
2D5,2D5-Phased out: SIMATIC C7,true
2D7,2D7-Phased out: HMI BASIC PANEL 4-6,true
2D8,2D8-Phased out: HMI BASIC PANEL 10-15,true
2D9,2D9-Phased out: SIMATIC S5-115,true
2E0,2E0-Phased out: SIMATIC S7-400,true
2E1,"2E1-Phased out: Failsafe Systems S7, DP",true
2E6,2E6-Phased out: SYMADYN/TDC,true
2E9,2E9-Phased out: SIMATIC S5-135/155,true
2F0,2F0-Phased out: SIMATIC-DP,true
2F1,2F1-Phased out: Profibus TechnologyComp,true
2F2,2F2-Phased out: PROFINET TechnologyComp,true
2G0,2G0-Phased out: SIMATIC PG Hardware,true
2G1,2G1-Phased out: SIMATIC PG Add-On,true
2G3,2G3-Phased out: SIMATIC HMI Thin Client,true
2G4,2G4-Phased out: SIMATIC Bundle,true
2G5,2G5-Phased out: SIMATIC Standard Tool,true
2G6,2G6-Phased out: SIMATIC Eng. Tools,true
2G7,2G7-Phased out: Contract SIMATIC Tools,true
2G8,2G8-Phased out: SIMATIC WIN-AC,true
2G9,2G9-Phased out: Contract SIMATIC HM,true
2H0,2H0-Phased out: SIMATIC HMI Pan.07x/17x,true
2H1,2H1-Phased out: SIMATIC HMI Pan.27x/37x,true
2H2,2H2-Phased Out: Simatic HMI Scada ES,true
2H3,2H3-Phased out: SIMATIC HMI Micro Panel,true
2H4,2H4-Phased out: SIMATIC HMI Panel-PC_1,true
2H5,2H5-Phased out: SIMATIC HMI Panel-PC_2,true
2H6,2H6-Phased out: SIMATIC HMI SW WinCC,true
2H7,2H7-Phased out: SIMATIC HMI RT-SW,true
2H8,2H8-Phased out: SIMATIC HMI CS/ES-SW,true
2H9,2H9-Phased out: SIMATIC HMI Ind.Com.Dev,true
2I0,2I0-Phased out: SIMATIC PCS 7,true
2I1,2I1-Phased out: SIMATIC PCS7 SW/Doc.,true
2I2,2I2-Phased out: Contract SIMATIC PCS 7,true
2I5,2I5-Phased out: TI Products,true
2I6,2I6-Phased out: APACS / Quadlog,true
2I7,2I7-Phased out: TELEPERM,true
2I8,2I8-Phased out: Cemat/Braumat,true
2J0,2J0-Phased out: MES Products,true
2J4,2J4-Phased out: ETM-SW PVSS,true
2J6,2J6-Phased out: CIS-SW COMOS,true
2SP,2SP-Special offers: SIMATIC,true
2W0,2W0-Phased out: PQ+ZUE n.rel. PC Midrng,true
2W1,2W1-Phased out: PQ+ZUE not rel. Box PC,true
2W2,2W2-Phased out: PQ+ZUE not relevant,true
2X0,2X0-PQ+ZUE not relevant PC Midrange,true
2X1,2X1-PQ+ZUE not relevant PC Box PC,true
2X2,2X2-PQ+ZUE not relevant,true
2Y0,2Y0-Phased out: LOGO! / Special offers,true
2Y2,2Y2-Phased out: S7-200 / Special offers,true
2Y3,2Y3-Phased out: Other CA HMI,true
2Y4,2Y4-Phased out: Other PLC,true
2Y6,2Y6-Phased out: Other SCE,true
2Y7,2Y7-Phased out: Other  HMI,true
2Y8,2Y8-Phased out: PCS7/APACS/QUADLOG,true
2Y9,2Y9-Phased out: Other MES,true
2YZ,2YZ-Phased out: Special items SIMATIC,true
2Z0,2Z0-LOGO! / Special offers,true
2Z2,2Z2-S7-200 / Special offers,true
2Z3,2Z3-Other SIMATIC,true
2Z4,2Z4-Other PLC,true
2Z5,2Z5-Other Automotive,true
2Z6,2Z6-Other SCE,true
2Z7,2Z7-Other  HMI,true
2Z8,2Z8-Other PCS7/APACS/QUADLOG,true
2Z9,2Z9-Other MES,true
2ZZ,2ZZ-Special items SIMATIC,true
301,301-MM 1-3 History,true
302,302-Sivolt,true
311,311-MM Junior,true
312,312-MM3 Basic,true
313,313-MM3 Vector,true
314,314-MD3 Vector,true
315,315-MM / MD Eco,true
316,316-MICROMASTER 3 Optioner / Tilb.,true
317,317-CM2 / MMI2,true
318,318-CM2 / MMI2 Optioner,true
319,319-MICROMASTER 411 / COMBIMASTER 411 Optioner,true
321,321-MICROMASTER 410,true
322,322-MICROMASTER 420,true
323,323-MICROMASTER 440 < 90 kW,true
324,324-MICROMASTER 440 > 90 kW,true
325,325-MICROMASTER 4 / SINAMICS Optioner,true
326,326-MICROMASTER 4 IP56,true
327,327-MICROMASTER 430 < 90 kW,true
